update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
86,88064,2243.073339917243,40,-2816.1875,2290.8936975760685,-6785.5,-417.0,251.0,200.75295763699225,10.0,450.0,0.365860678255558,-70.6987361907959,141.0314826965332,22075.19580078125,36.91200854119957
87,89088,2252.9309548775673,40,-3165.6875,2103.8568442490923,-6785.5,-594.0,284.125,178.93115820057724,29.0,450.0,0.2737234979867935,-71.44360160827637,155.06551361083984,25515.9921875,39.012016957842214
88,90112,2122.324551603022,41,-2970.8125,1662.4272716704781,-5026.0,-594.0,283.75,179.3005507520822,29.0,450.0,0.4616479054093361,-72.17590522766113,155.0395736694336,27217.65283203125,41.46052812052157
89,91136,2140.052316331539,41,-4209.6875,1334.5629419752934,-6083.5,-1505.5,385.125,120.04732139868844,106.0,450.0,0.5098506361246109,-72.86051559448242,155.9424705505371,28155.453125,51.38472510305808
90,92160,2238.169812461307,42,-4193.9375,1624.4535511499705,-6083.5,-1505.5,372.125,135.85878468100617,106.0,450.0,0.611377090215683,-73.60531234741211,162.83781814575195,29597.02783203125,39.74404116578214
91,93184,1874.0037253470641,42,-4532.875,1790.0922069477315,-6553.5,-1505.5,372.125,135.85878468100617,106.0,450.0,0.6438146382570267,-74.34334564208984,160.28085708618164,29106.85693359375,69.90634654767901
92,94208,2066.7014548822885,43,-5239.3125,1621.664729866735,-7454.5,-1745.0,415.125,92.2705769733776,171.0,450.0,0.6439023017883301,-75.0776481628418,147.35472869873047,24518.09423828125,33.295984785417495
93,95232,2153.5340017779954,43,-5341.375,1246.6985589447836,-7454.5,-3121.5,450.0,0.0,450.0,450.0,0.4989914521574974,-75.74052810668945,127.2658863067627,19120.19140625,94.82472275737379
94,96256,2190.3510075691356,44,-5015.5,1274.6740024414084,-7454.5,-3121.5,432.875,45.30849120198111,313.0,450.0,0.6308978050947189,-76.39076232910156,145.7055206298828,23574.33935546875,33.80881097334868
95,97280,2340.3660894446234,44,-3749.8125,1598.7470863441004,-5815.5,-241.0,334.0,145.31603490324116,14.0,450.0,0.7435168027877808,-77.14350509643555,134.61075592041016,20343.95751953125,63.3507621593941
96,98304,2214.003379538226,45,-2573.0625,1760.302556336197,-5026.0,-241.0,232.25,173.72877568209591,14.0,450.0,0.6591974943876266,-77.88206672668457,138.2142105102539,21591.447265625,33.63580277714107
97,99328,2223.606596214818,45,-2587.9375,1797.8863881913535,-5402.0,-520.0,207.75,168.57398227484572,27.0,450.0,0.6259189546108246,-78.62385749816895,124.46207809448242,18620.08203125,35.37985575750261
98,100352,2293.2506881139298,46,-2482.5,1471.0798542227408,-4673.0,-472.5,265.5,180.0416618452518,19.0,450.0,0.5211316347122192,-79.33227157592773,122.64457321166992,18609.91796875,22.148855424846765
99,101376,1934.1141131512654,46,-2172.8125,1377.4488633316846,-4673.0,-472.5,214.0,155.81960723862707,19.0,450.0,0.6206021308898926,-80.00944709777832,145.71864318847656,23557.1962890625,54.300171870633676
100,102400,2228.4418252919436,47,-1538.25,1172.0625463259203,-3493.0,-311.5,121.6,101.03088636649686,2.0,293.0,0.5348074287176132,-80.75024795532227,143.55373001098633,23747.0966796875,27.028317592615295
101,103424,2298.3938925938173,47,-1584.75,1400.0257586916034,-4198.0,-330.0,152.375,164.98404278899218,4.0,450.0,0.4681338369846344,-81.50316429138184,138.3856964111328,21789.62060546875,43.1224982266462
102,104448,2303.56145433872,47,-1683.5,1350.4786188607357,-4198.0,-330.0,163.875,158.26357564202826,4.0,450.0,0.41430629044771194,-82.23205184936523,147.23251724243164,23147.2216796875,23.21029876893923
103,105472,2283.037880644316,48,-1798.1363636363637,1505.4548556213997,-4892.5,-225.5,139.27272727272728,138.56609247384827,4.0,450.0,0.3450757935643196,-82.98041534423828,159.53432846069336,28161.29833984375,23.185800111066172
104,106496,2238.1756441904176,48,-2218.875,1606.601085171736,-5305.0,-898.0,175.75,153.62596622967095,40.0,450.0,0.2253841832280159,-83.7095718383789,144.49156951904297,23431.041015625,24.076528225963624
